placement,augments,traits,champions
2,"['Not Today', 'Challenger Crest', 'Medium-End Shopping']","[('Empress', '1'), ('Redeemer', '1'), ('Technogenius', '1'), ('Ionia', '3'), ('Bastion', '2'), ('Challenger', '2')]","[('ApexTurret', 0), ('Yasuo', '2'), ('Shen', '2'), ('Jarvan IV', '2'), (""Bel'Veth"", '2'), (""K'Sante"", '2'), ('Heimerdinger', '2'), ('Senna', '2'), ('Sion', '2'), ('Ahri', '2')]"
1,"['Tiniest Titan', 'Missed Connections', 'Unified Resistance II']","[('Slayer', '6'), ('Darkin', '1'), ('Redeemer', '1'), ('Technogenius', '1'), ('Demacia', '3'), ('Shadow Isles', '3'), ('Yordle', '3'), ('Bastion', '2')]","[('ApexTurret', 0), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '2'), ('Heimerdinger', '1'), ('Senna', '2'), ('Aatrox', '2')]"
1,"['Frequent Flier', 'Golden Ticket', 'Slayer Crest']","[('Slayer', '6'), ('Darkin', '1'), ('Technogenius', '1'), ('Ionia', '3'), ('Juggernaut', '2'), ('Rogue', '2')]","[('ApexTurret', 0), ('Kayle', '1'), ('Zed', '3'), ('Sett', '3'), ('Kled', '3'), ('Katarina', '3'), ('Shen', '1'), ('Gwen', '2'), ('Heimerdinger', '1'), ('Aatrox', '2')]"
4,"['Piltover Heart', 'Level Up!', 'Unified Resistance I']","[('Gunner', '4'), ('Piltover', '3'), ('Redeemer', '1'), ('Technogenius', '1'), ('Zaun', '4')]","[('ApexTurret', 0), ('T-Hex', 0), ('Jinx', '1'), ('Warwick', '2'), ('Jayce', '2'), ('Zeri', '2'), ('Urgot', '2'), ('Urgot', '2'), ('Sejuani', '2'), ('Heimerdinger', '1'), ('Senna', '1')]"
8,"['Ancient Archives I', 'You Have My Bow', 'Dueling Gunners']","[('Piltover', '3'), ('Zaun', '4'), ('Gunner', '2')]","[('T-Hex', 0), ('Vi', '2'), ('Jinx', '2'), ('Ekko', '2'), ('Zeri', '1'), ('Nasus', '2'), ('Jarvan IV', '2'), ('Urgot', '2')]"
7,"['Long Distance Pals II', 'Young and Wild and Free', 'Challenger Crest']","[('Challenger', '6'), ('Ionia', '3'), ('Shadow Isles', '3'), ('Juggernaut', '2')]","[('Maokai', '2'), ('Sett', '2'), ('Warwick', '2'), ('Kalista', '2'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Gwen', '2')]"
8,"['Multicaster Heart', 'Multicaster Soul', 'Social Distancing I']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Demacia', '3'), ('Bastion', '2'), ('Strategist', '2')]","[('Swain', '2'), (""Vel'Koz"", '2'), ('Sona', '2'), ('Taric', '2'), ('Lux', '1'), ('Shen', '2'), ('Jarvan IV', '2')]"
4,"[""Shurima's Legacy"", 'Shurima Crown', 'Social Distancing I']","[('Technogenius', '1'), ('Shurima', '5'), ('Deadeye', '2'), ('Strategist', '2')]","[('ApexTurret', 0), ('Akshan', '2'), ('Nasus', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Urgot', '2'), ('Sejuani', '2'), (""K'Sante"", '1'), ('Heimerdinger', '1')]"
4,"['Unified Resistance II', 'Golden Ticket', 'Know Your Enemy']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '2'), ('Warwick', '1'), ('Sett', '2'), ('Karma', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Ahri', '1')]"
4,"['Idealism', 'Cybernetic Leech II', 'Long Distance Pals II']","[('Noxus', '6'), ('Juggernaut', '2')]","[('Samira', '2'), ('Swain', '2'), ('Kled', '2'), ('Katarina', '2'), ('Darius', '3'), ('Nasus', '1'), ('Sion', '1'), (""K'Sante"", '2')]"
1,"['Army Building', 'Bronze Ticket', 'Multicaster Soul']","[('Sorcerer', '6'), ('Multicaster', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Malzahar', '1'), ('Swain', '3'), ('Teemo', '3'), ('Taric', '1'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '1'), ('Lux', '2')]"
6,"['Ravenous Hunter', 'Defensive Dash', 'Challenger Crest']","[('Challenger', '6'), ('Ionia', '3'), ('Juggernaut', '2'), ('Zaun', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Jinx', '2'), ('Warwick', '3'), ('Kalista', '2'), (""Kai'Sa"", '1'), ('Yasuo', '2')]"
1,"['Silver Ticket', 'Martyr', 'Petricite Shackles']","[('Slayer', '6'), ('Darkin', '1'), ('Technogenius', '1'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2')]","[('ApexTurret', 0), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Zed', '2'), ('Kled', '2'), ('Gwen', '1'), ('Jarvan IV', '2'), ('Heimerdinger', '1'), ('Aatrox', '2')]"
1,"['Tons of Stats!', 'Ionia Crest', 'Unified Resistance II']","[('Ionia', '6'), ('Redeemer', '1'), ('Technogenius', '1'), ('Challenger', '4'), ('Invoker', '2')]","[('ApexTurret', 0), ('Irelia', '2'), ('Sett', '2'), ('Karma', '3'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Heimerdinger', '1'), ('Senna', '1')]"
3,"['Escort Quest', 'Healing Orbs II', 'Mana Burn']","[('Void', '6'), ('Empress', '1'), ('Bruiser', '4'), ('Sorcerer', '2')]","[('Malzahar', '1'), (""Cho'Gath"", '1'), (""Vel'Koz"", '2'), (""Rek'Sai"", '2'), (""Kai'Sa"", '2'), ('Sejuani', '2'), ('Sion', '1'), (""Bel'Veth"", '2')]"
8,"['Long Distance Pals II', 'Radiant Relics', 'Tons of Stats!']","[('Ionia', '6'), ('Challenger', '3'), ('Invoker', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Karma', '2'), ('Yasuo', '1'), (""Kai'Sa"", '1'), ('Shen', '2'), ('Ahri', '1')]"
1,"['Jeweled Lotus I', 'Healing Orbs I', 'Deadeye Crown']","[('Deadeye', '4'), ('Freljord', '3'), ('Bastion', '2'), ('Bruiser', '2'), ('Invoker', '2'), ('Targon', '2')]","[('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Shen', '2'), ('Urgot', '2'), ('Sejuani', '2'), ('Sion', '1')]"
7,"['Sorcerer Heart', 'Multicaster Heart', 'Overcharged Manafont']","[('Multicaster', '4'), ('Sorcerer', '5'), ('Strategist', '3'), ('Demacia', '3')]","[('Teemo', '2'), ('Swain', '3'), (""Vel'Koz"", '2'), ('Taric', '2'), ('Sona', '3'), ('Lux', '1'), ('Jarvan IV', '1')]"
4,"['Latent Forge', 'Transfusion II', 'Gunner Crown']","[('Gunner', '4'), ('Piltover', '3'), ('Empress', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Bruiser', '2'), ('Zaun', '2')]","[('ApexTurret', 0), ('T-Hex', 0), ('Jinx', '1'), ('Vi', '2'), ('Jayce', '2'), ('Zeri', '2'), (""Bel'Veth"", '1'), ('Heimerdinger', '1'), ('Sion', '1'), ('Sion', '1'), ('Ryze: Freljord', '2')]"
2,"['Component Buffet', 'Bruiser Heart', 'Void Crown']","[('Void', '8'), ('Bruiser', '4'), ('Freljord', '2'), ('Sorcerer', '2')]","[('Malzahar', '2'), (""Cho'Gath"", '2'), ('Kassadin', '2'), ('Lissandra', '1'), (""Rek'Sai"", '2'), (""Vel'Koz"", '3'), (""Kai'Sa"", '1'), ('Sejuani', '2')]"
1,"['Army Building', 'Bronze Ticket', 'Multicaster Soul']","[('Sorcerer', '6'), ('Multicaster', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Malzahar', '1'), ('Swain', '3'), ('Teemo', '3'), ('Taric', '1'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '1'), ('Lux', '2')]"
6,"['Ravenous Hunter', 'Defensive Dash', 'Challenger Crest']","[('Challenger', '6'), ('Ionia', '3'), ('Juggernaut', '2'), ('Zaun', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Jinx', '2'), ('Warwick', '3'), ('Kalista', '2'), (""Kai'Sa"", '1'), ('Yasuo', '2')]"
1,"['Silver Ticket', 'Martyr', 'Petricite Shackles']","[('Slayer', '6'), ('Darkin', '1'), ('Technogenius', '1'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2')]","[('ApexTurret', 0), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Zed', '2'), ('Kled', '2'), ('Gwen', '1'), ('Jarvan IV', '2'), ('Heimerdinger', '1'), ('Aatrox', '2')]"
1,"['Tons of Stats!', 'Ionia Crest', 'Unified Resistance II']","[('Ionia', '6'), ('Redeemer', '1'), ('Technogenius', '1'), ('Challenger', '4'), ('Invoker', '2')]","[('ApexTurret', 0), ('Irelia', '2'), ('Sett', '2'), ('Karma', '3'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Heimerdinger', '1'), ('Senna', '1')]"
3,"['Escort Quest', 'Healing Orbs II', 'Mana Burn']","[('Void', '6'), ('Empress', '1'), ('Bruiser', '4'), ('Sorcerer', '2')]","[('Malzahar', '1'), (""Cho'Gath"", '1'), (""Vel'Koz"", '2'), (""Rek'Sai"", '2'), (""Kai'Sa"", '2'), ('Sejuani', '2'), ('Sion', '1'), (""Bel'Veth"", '2')]"
8,"['Long Distance Pals II', 'Radiant Relics', 'Tons of Stats!']","[('Ionia', '6'), ('Challenger', '3'), ('Invoker', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Karma', '2'), ('Yasuo', '1'), (""Kai'Sa"", '1'), ('Shen', '2'), ('Ahri', '1')]"
1,"['Jeweled Lotus I', 'Healing Orbs I', 'Deadeye Crown']","[('Deadeye', '4'), ('Freljord', '3'), ('Bastion', '2'), ('Bruiser', '2'), ('Invoker', '2'), ('Targon', '2')]","[('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Shen', '2'), ('Urgot', '2'), ('Sejuani', '2'), ('Sion', '1')]"
7,"['Sorcerer Heart', 'Multicaster Heart', 'Overcharged Manafont']","[('Multicaster', '4'), ('Sorcerer', '5'), ('Strategist', '3'), ('Demacia', '3')]","[('Teemo', '2'), ('Swain', '3'), (""Vel'Koz"", '2'), ('Taric', '2'), ('Sona', '3'), ('Lux', '1'), ('Jarvan IV', '1')]"
4,"['Latent Forge', 'Transfusion II', 'Gunner Crown']","[('Gunner', '4'), ('Piltover', '3'), ('Empress', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Bruiser', '2'), ('Zaun', '2')]","[('ApexTurret', 0), ('T-Hex', 0), ('Jinx', '1'), ('Vi', '2'), ('Jayce', '2'), ('Zeri', '2'), (""Bel'Veth"", '1'), ('Heimerdinger', '1'), ('Sion', '1'), ('Sion', '1'), ('Ryze: Freljord', '2')]"
2,"['Component Buffet', 'Bruiser Heart', 'Void Crown']","[('Void', '8'), ('Bruiser', '4'), ('Freljord', '2'), ('Sorcerer', '2')]","[('Malzahar', '2'), (""Cho'Gath"", '2'), ('Kassadin', '2'), ('Lissandra', '1'), (""Rek'Sai"", '2'), (""Vel'Koz"", '3'), (""Kai'Sa"", '1'), ('Sejuani', '2')]"
1,"['Tiniest Titan', 'Cybernetic Bulk I', 'Multicaster Soul']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Teemo', '1'), ('Swain', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '1'), ('Lux', '2'), ('Gwen', '2')]"
8,"['Sorcerer Crest', 'Transfusion II', 'Mana Burn']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Sona', '1'), (""Vel'Koz"", '2'), ('Jarvan IV', '1'), ('Lux', '2')]"
1,"['Unified Resistance I', 'Healing Orbs II', 'Long Distance Pals II']","[('Sorcerer', '6'), ('Demacia', '3'), ('Void', '3'), ('Bastion', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('Kassadin', '2'), ('Swain', '2'), ('Sona', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Ahri', '1')]"
5,"['Double Trouble II', 'Idealism', 'Rogue Crest']","[('Shadow Isles', '4'), ('Rogue', '2')]","[('Viego', '2'), ('Maokai', '3'), ('Viego', '3'), ('Kalista', '2'), ('Kalista', '2'), ('Gwen', '2'), ('Gwen', '2')]"
1,"['Trade Sector', 'Multicaster Soul', 'Unified Resistance I']","[('Strategist', '5'), ('Multicaster', '4'), ('Sorcerer', '4'), ('Demacia', '3')]","[('Teemo', '2'), ('Swain', '3'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Azir', '1'), ('Lux', '2'), ('Jarvan IV', '2')]"
7,"['Social Distancing II', 'Gifts from the Fallen', 'Unified Resistance II']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '1'), ('Sett', '1'), ('Warwick', '2'), ('Karma', '2'), ('Kalista', '2'), ('Yasuo', '1'), ('Shen', '1')]"
2,"['Ionia Crest', 'Jeweled Lotus III', 'Unified Resistance I']","[('Ionia', '6'), ('Technogenius', '1'), ('Wanderer', '1'), ('Challenger', '4'), ('Invoker', '3'), ('Juggernaut', '2')]","[('ApexTurret', 0), ('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Ryze: Freljord', '1'), ('Heimerdinger', '1')]"
4,"['Zaun Crown', 'Harmacist II', 'Dueling Gunners']","[('Piltover', '3'), ('Darkin', '1'), ('Technogenius', '1'), ('Zaun', '4'), ('Bruiser', '2'), ('Gunner', '2')]","[('ApexTurret', 0), ('T-Hex', 0), ('Vi', '2'), ('Jinx', '3'), ('Ekko', '2'), ('Shen', '1'), ('Zeri', '2'), ('Sejuani', '2'), ('Heimerdinger', '1'), ('Aatrox', '1')]"
1,"['Cybernetic Leech I', 'Double Trouble II', 'Know Your Enemy']","[('Bruiser', '6'), ('Empress', '1'), ('Void', '3')]","[(""Cho'Gath"", '2'), ('Renekton', '2'), ('Vi', '2'), (""Rek'Sai"", '2'), (""Rek'Sai"", '3'), ('Sejuani', '2'), ('Sion', '1'), (""Bel'Veth"", '2'), (""Bel'Veth"", '2')]"
2,"['Two Healthy', 'Golden Ticket', 'Bronze Ticket']","[('Multicaster', '4'), ('Strategist', '3'), ('Sorcerer', '2')]","[('Taliyah', '1'), ('Swain', '3'), ('Sett', '3'), ('Taliyah', '3'), ('Teemo', '3'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '2')]"
1,"['Tiniest Titan', 'Cybernetic Bulk I', 'Multicaster Soul']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Teemo', '1'), ('Swain', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '1'), ('Lux', '2'), ('Gwen', '2')]"
8,"['Sorcerer Crest', 'Transfusion II', 'Mana Burn']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), ('Sona', '1'), (""Vel'Koz"", '2'), ('Jarvan IV', '1'), ('Lux', '2')]"
1,"['Unified Resistance I', 'Healing Orbs II', 'Long Distance Pals II']","[('Sorcerer', '6'), ('Demacia', '3'), ('Void', '3'), ('Bastion', '2'), ('Multicaster', '2'), ('Strategist', '2')]","[('Kassadin', '2'), ('Swain', '2'), ('Sona', '2'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Ahri', '1')]"
5,"['Double Trouble II', 'Idealism', 'Rogue Crest']","[('Shadow Isles', '4'), ('Rogue', '2')]","[('Viego', '2'), ('Maokai', '3'), ('Viego', '3'), ('Kalista', '2'), ('Kalista', '2'), ('Gwen', '2'), ('Gwen', '2')]"
1,"['Trade Sector', 'Multicaster Soul', 'Unified Resistance I']","[('Strategist', '5'), ('Multicaster', '4'), ('Sorcerer', '4'), ('Demacia', '3')]","[('Teemo', '2'), ('Swain', '3'), ('Taric', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Azir', '1'), ('Lux', '2'), ('Jarvan IV', '2')]"
7,"['Social Distancing II', 'Gifts from the Fallen', 'Unified Resistance II']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '1'), ('Sett', '1'), ('Warwick', '2'), ('Karma', '2'), ('Kalista', '2'), ('Yasuo', '1'), ('Shen', '1')]"
2,"['Ionia Crest', 'Jeweled Lotus III', 'Unified Resistance I']","[('Ionia', '6'), ('Technogenius', '1'), ('Wanderer', '1'), ('Challenger', '4'), ('Invoker', '3'), ('Juggernaut', '2')]","[('ApexTurret', 0), ('Irelia', '2'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Ryze: Freljord', '1'), ('Heimerdinger', '1')]"
4,"['Zaun Crown', 'Harmacist II', 'Dueling Gunners']","[('Piltover', '3'), ('Darkin', '1'), ('Technogenius', '1'), ('Zaun', '4'), ('Bruiser', '2'), ('Gunner', '2')]","[('ApexTurret', 0), ('T-Hex', 0), ('Vi', '2'), ('Jinx', '3'), ('Ekko', '2'), ('Shen', '1'), ('Zeri', '2'), ('Sejuani', '2'), ('Heimerdinger', '1'), ('Aatrox', '1')]"
1,"['Cybernetic Leech I', 'Double Trouble II', 'Know Your Enemy']","[('Bruiser', '6'), ('Empress', '1'), ('Void', '3')]","[(""Cho'Gath"", '2'), ('Renekton', '2'), ('Vi', '2'), (""Rek'Sai"", '2'), (""Rek'Sai"", '3'), ('Sejuani', '2'), ('Sion', '1'), (""Bel'Veth"", '2'), (""Bel'Veth"", '2')]"
2,"['Two Healthy', 'Golden Ticket', 'Bronze Ticket']","[('Multicaster', '4'), ('Strategist', '3'), ('Sorcerer', '2')]","[('Taliyah', '1'), ('Swain', '3'), ('Sett', '3'), ('Taliyah', '3'), ('Teemo', '3'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Jarvan IV', '2')]"
1,"['Unified Resistance I', 'Young and Wild and Free', 'Golden Ticket']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '2'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Aphelios', '2'), ('Sejuani', '2'), ('Urgot', '3')]"
3,"['The Boss', 'Return on Investment', 'Long Distance Pals II']","[('Ionia', '6'), ('Bastion', '2'), ('Challenger', '2'), ('Deadeye', '2'), ('Invoker', '2'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Jhin', '2'), ('Irelia', '2'), ('Warwick', '1'), ('Sett', '3'), ('Akshan', '1'), ('Taric', '2'), ('Karma', '3'), ('Shen', '2'), ('Ahri', '2')]"
5,"['Cybernetic Bulk I', 'Capricious Forge', 'Contagion']","[('Freljord', '3'), ('Redeemer', '1'), ('Bruiser', '2'), ('Deadeye', '2'), ('Shadow Isles', '2'), ('Targon', '2')]","[('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Gwen', '2'), ('Sejuani', '2'), ('Senna', '1'), ('Sion', '1')]"
3,"['Long Distance Pals II', 'Jeweled Lotus II', 'Mana Burn']","[('Challenger', '6'), ('Ionia', '4'), ('Shadow Isles', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Kalista', '3'), ('Shen', '1'), ('Gwen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Sion', '2'), ('Ahri', '2')]"
4,"['Jeweled Lotus I', ""Slayer's Resolve"", 'Portable Forge']","[('Darkin', '1'), ('Slayer', '4'), ('Ionia', '3'), ('Juggernaut', '3'), ('Noxus', '3'), ('Rogue', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Kled', '2'), ('Zed', '3'), ('Darius', '2'), ('Katarina', '3'), ('Aatrox', '1')]"
6,"['Silver Ticket', 'Cybernetic Bulk II', 'Social Distancing II']","[('Darkin', '1'), ('Slayer', '4'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2'), ('Strategist', '2')]","[('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Teemo', '2'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '2'), ('Aatrox', '1')]"
1,"['All That Shimmers', 'Last Stand', 'Combat Caster']","[('Shadow Isles', '6'), ('Darkin', '1'), ('Redeemer', '1'), ('Wanderer', '1'), ('Bastion', '2'), ('Challenger', '2'), ('Invoker', '2'), ('Slayer', '2')]","[('Maokai', '2'), ('Viego', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), ('Gwen', '2'), ('Ryze: Ionia', '2'), ('Senna', '2'), ('Aatrox', '2')]"
2,"['Silver Spoon', 'Jeweled Lotus II', 'Think Fast']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Taliyah', '2'), ('Teemo', '2'), ('Swain', '3'), ('Sona', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Jarvan IV', '2')]"
7,"['Army Building', 'Transfusion II', 'Contagion']","[('Shadow Isles', '4'), ('Redeemer', '1'), ('Gunner', '3'), ('Yordle', '3'), ('Bastion', '2')]","[('Viego', '2'), ('Maokai', '3'), ('Poppy', '3'), ('Tristana', '3'), ('Teemo', '2'), ('Jayce', '2'), ('Gwen', '1'), ('Senna', '1')]"
7,"['Idealism', 'Long Distance Pals II', 'Think Fast']","[('Noxus', '6'), ('Challenger', '2'), ('Juggernaut', '2'), ('Rogue', '2'), ('Zaun', '2')]","[('Samira', '2'), ('Kled', '2'), ('Warwick', '2'), ('Ekko', '1'), ('Darius', '2'), ('Katarina', '3'), ('Sion', '1')]"
1,"['Unified Resistance I', 'Young and Wild and Free', 'Golden Ticket']","[('Deadeye', '4'), ('Freljord', '3'), ('Shurima', '3'), ('Bruiser', '2')]","[('Renekton', '2'), ('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Aphelios', '2'), ('Sejuani', '2'), ('Urgot', '3')]"
3,"['The Boss', 'Return on Investment', 'Long Distance Pals II']","[('Ionia', '6'), ('Bastion', '2'), ('Challenger', '2'), ('Deadeye', '2'), ('Invoker', '2'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Jhin', '2'), ('Irelia', '2'), ('Warwick', '1'), ('Sett', '3'), ('Akshan', '1'), ('Taric', '2'), ('Karma', '3'), ('Shen', '2'), ('Ahri', '2')]"
5,"['Cybernetic Bulk I', 'Capricious Forge', 'Contagion']","[('Freljord', '3'), ('Redeemer', '1'), ('Bruiser', '2'), ('Deadeye', '2'), ('Shadow Isles', '2'), ('Targon', '2')]","[('Ashe', '2'), ('Taric', '2'), ('Lissandra', '2'), ('Aphelios', '2'), ('Gwen', '2'), ('Sejuani', '2'), ('Senna', '1'), ('Sion', '1')]"
3,"['Long Distance Pals II', 'Jeweled Lotus II', 'Mana Burn']","[('Challenger', '6'), ('Ionia', '4'), ('Shadow Isles', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Kalista', '3'), ('Shen', '1'), ('Gwen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Sion', '2'), ('Ahri', '2')]"
4,"['Jeweled Lotus I', ""Slayer's Resolve"", 'Portable Forge']","[('Darkin', '1'), ('Slayer', '4'), ('Ionia', '3'), ('Juggernaut', '3'), ('Noxus', '3'), ('Rogue', '2')]","[('Irelia', '2'), ('Sett', '2'), ('Kled', '2'), ('Zed', '3'), ('Darius', '2'), ('Katarina', '3'), ('Aatrox', '1')]"
6,"['Silver Ticket', 'Cybernetic Bulk II', 'Social Distancing II']","[('Darkin', '1'), ('Slayer', '4'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2'), ('Strategist', '2')]","[('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Teemo', '2'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '2'), ('Aatrox', '1')]"
1,"['All That Shimmers', 'Last Stand', 'Combat Caster']","[('Shadow Isles', '6'), ('Darkin', '1'), ('Redeemer', '1'), ('Wanderer', '1'), ('Bastion', '2'), ('Challenger', '2'), ('Invoker', '2'), ('Slayer', '2')]","[('Maokai', '2'), ('Viego', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), ('Gwen', '2'), ('Ryze: Ionia', '2'), ('Senna', '2'), ('Aatrox', '2')]"
2,"['Silver Spoon', 'Jeweled Lotus II', 'Think Fast']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Taliyah', '2'), ('Teemo', '2'), ('Swain', '3'), ('Sona', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Jarvan IV', '2')]"
7,"['Army Building', 'Transfusion II', 'Contagion']","[('Shadow Isles', '4'), ('Redeemer', '1'), ('Gunner', '3'), ('Yordle', '3'), ('Bastion', '2')]","[('Viego', '2'), ('Maokai', '3'), ('Poppy', '3'), ('Tristana', '3'), ('Teemo', '2'), ('Jayce', '2'), ('Gwen', '1'), ('Senna', '1')]"
7,"['Idealism', 'Long Distance Pals II', 'Think Fast']","[('Noxus', '6'), ('Challenger', '2'), ('Juggernaut', '2'), ('Rogue', '2'), ('Zaun', '2')]","[('Samira', '2'), ('Kled', '2'), ('Warwick', '2'), ('Ekko', '1'), ('Darius', '2'), ('Katarina', '3'), ('Sion', '1')]"
2,"['Idealism', 'Harmacist III', 'Unified Resistance I']","[('Multicaster', '4'), ('Sorcerer', '4'), ('Strategist', '3'), ('Demacia', '3')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Lux', '2'), ('Jarvan IV', '2'), ('Ahri', '1')]"
5,"['Dedication', 'Tiny Titans', 'Long Distance Pals II']","[('Shurima', '7'), ('Freljord', '3'), ('Bruiser', '2'), ('Deadeye', '2')]","[('Renekton', '2'), ('Taliyah', '2'), ('Lissandra', '2'), ('Akshan', '2'), ('Nasus', '2'), ('Azir', '2'), ('Sejuani', '2'), (""K'Sante"", '1')]"
5,"['The Boss', ""Sentinel's Spirit"", 'Salvage Bin+']","[('Ionia', '6'), ('Empress', '1'), ('Wanderer', '1'), ('Invoker', '3'), ('Juggernaut', '2')]","[('Jhin', '2'), ('Sett', '1'), ('Warwick', '2'), ('Karma', '1'), ('Shen', '2'), (""Bel'Veth"", '1'), ('Ryze: Ionia', '1'), ('Ahri', '2')]"
4,"['Golden Ticket', 'Healing Orbs I', 'Unified Resistance II']","[('Technogenius', '1'), ('Slayer', '4'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2')]","[('ApexTurret', 0), ('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Zed', '2'), ('Kled', '2'), ('Jarvan IV', '1'), ('Gwen', '1'), ('Heimerdinger', '1')]"
